name,roaster,roaster_city,roaster_country_state,roaster_country,origin,origin_count,origin_country,review_date,est_price,rating,roast,agtron,agtron_grounds,agtron_bean,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3,desc
Honduras Los Catadores Honey,Kakalove Cafe,Chiayi,Taiwan,Taiwan,"Marcala growing region, La Paz Department, Honduras",1,Honduras,December 2017,NT $500/16 ounces,93,Medium-Light,53/77,53,77,9.0,0.0,8.0,9.0,8.0,9.0,"Evaluated as espresso. Deeply expressed dark chocolate, magnolia-like flowers, grapefruit zest, date, cedar in aroma and small cup. Lean, though very smooth mouthfeel; chocolate-toned finish with hints of cedar. The chocolate deepens in three parts milk, enlivened by continued suggestions of magnolia and grapefruit.","Honduras, until recently a largely overlooked Central American coffee origin, has been producing increasing volumes of fine coffee over the past decade. Produced entirely from trees of the Catuai variety of Arabica and processed by the honey method, which means that the outer skin of the coffee fruit is removed as it is in the wet or “washed” process, but at least some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A solid single-origin Central America espresso, chocolate-toned throughout, with pretty floral and citrus zest grace notes.","Evaluated as espresso. Deeply expressed dark chocolate, magnolia-like flowers, grapefruit zest, date, cedar in aroma and small cup. Lean, though very smooth mouthfeel; chocolate-toned finish with hints of cedar. The chocolate deepens in three parts milk, enlivened by continued suggestions of magnolia and grapefruit. A solid single-origin Central America espresso, chocolate-toned throughout, with pretty floral and citrus zest grace notes."
Static Kenya Kavutiri,Espresso Republic,Chino,California,United States,"Kiambu County, south-central Kenya",1,Kenya,December 2017,$25.00/12 ounces,92,Medium-Light,53/79,53,79,9.0,8.0,8.0,9.0,8.0,0.0,"Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long, with a throughline of baker’s chocolate.","Produced by smallholding farmers from trees of the Ruiru 11, Batian, SL28 and SL34 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A delicate, spice-driven Kenya cup with engaging undercurrents of fruit, floral and chocolate.","Delicate, sweetly spice-toned. Red currant, lemon verbena, baker’s chocolate, rose hips, a hint of cannabis in aroma and cup. Crisply sweet-savory structure; crisp, velvety mouthfeel. The finish is sweetly herb-toned, leading with notes of lemon verbena and red currant in the short and a sweet muskiness akin to cannabis in the long, with a throughline of baker’s chocolate. A delicate, spice-driven Kenya cup with engaging undercurrents of fruit, floral and chocolate."
Honduras La Lesquinada Washed,Kakalove Cafe,Chiayi,Taiwan,Taiwan,"Copan, Honduras",1,Honduras,December 2017,NT $500/16 ounces,92,Medium-Light,55/79,55,79,9.0,0.0,8.0,8.0,8.0,9.0,"Evaluated as espresso. Bright, zesty-sweet. Baker’s chocolate, lemon zest, black cherry, fresh-cut fir, narcissus in aroma and small cup. Crisp, velvety mouthfeel; balanced, sweetly tart finish. In three-parts milk the coffee particularly impresses: rich chocolate harmoniously envelops tart fruit and sweet floral notes.","Honduras, until recently a largely overlooked Central American coffee origin, has been producing increasing volumes of fine coffee over the past decade. Produced entirely from trees of the Paraneima variety of Arabica; a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","Makes a particularly appealing espresso in cappuccino-scaled milk: chocolaty, with intense fruit and floral complication.","Evaluated as espresso. Bright, zesty-sweet. Baker’s chocolate, lemon zest, black cherry, fresh-cut fir, narcissus in aroma and small cup. Crisp, velvety mouthfeel; balanced, sweetly tart finish. In three-parts milk the coffee particularly impresses: rich chocolate harmoniously envelops tart fruit and sweet floral notes. Makes a particularly appealing espresso in cappuccino-scaled milk: chocolaty, with intense fruit and floral complication."
Kenya Gicherori,The WestBean Coffee Roasters,San Diego,California,United States,"Kiambu County, south-central Kenya",1,Kenya,December 2017,$24.00/12 ounces,91,Medium-Light,50/74,50,74,8.0,8.0,8.0,9.0,8.0,0.0,"Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s chocolate, with a hint of cinnamon. ","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. AA is the highest grade of Kenya coffee based on freedom from physical imperfections and bean size. The WestBean is a San Diego-based roastery founded by two friends with a passion for coffee and a determination to bring their customers the highest quality hand-crafted coffee possible. Visit www.thewestbean.com or call 619-709-3232 for more information.","A round, sweetly savory Kenya enlivened by the quiet intrigue of vanilla-like flowers and crisp chocolate.","Sweetly savory, layered. Rhododendron-like flowers, cinnamon, baker’s chocolate, cedar, red currant in aroma and cup. Round, savory-leaning structure; crisp, velvety mouthfeel. The quiet finish centers on notes of vanilla-like florals and baker’s chocolate, with a hint of cinnamon.  A round, sweetly savory Kenya enlivened by the quiet intrigue of vanilla-like flowers and crisp chocolate."
Ethiopia Yirgacheffe,Mystic Monk Coffee,Clark,Wyoming,United States,"Yirgacheffe growing region, southern Ethiopia",1,Ethiopia,February 2018,$13.99/12 ounces,90,Medium,45/75,45,75,8.0,8.0,8.0,8.0,8.0,0.0,"Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s chocolate in the short complicated by deep florals and aromatic wood, rounding to cocoa powder and molasses in the long.","Coffees from the Yirgacheffe region are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.","A resonant, chocolate-toned Yirgacheffe cup, deeply sweet with floral and aromatic wood undertones.","Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s chocolate in the short complicated by deep florals and aromatic wood, rounding to cocoa powder and molasses in the long. A resonant, chocolate-toned Yirgacheffe cup, deeply sweet with floral and aromatic wood undertones."
Honduras David Mancia,Coava Coffee Roasters,Portland,Oregon,United States,"Santa Barbara Department, Honduras",1,Honduras,February 2018,$15.00/250 grams,90,Light,58/84,58,84,8.0,8.0,8.0,8.0,8.0,0.0,"High-toned, crisply sweet. Roasted cacao nib, apricot, freesia, oak, toffee in aroma and cup. Sweet-toned in structure with brisk, juicy acidty; silky mouthfeel. The finish centers around cocoa-toned stone fruit with hints of spicy floral notes.","Produced from trees of the Pacas and Catimor varieties of Arabica on the two-hectare farm of David Mancia in the Honduran village of El Cielito at an elevation of over 5,000 feet. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Coava is a Portland-based coffee roaster, now with a San Diego location as well, that aims to provide quality coffee and education regarding the preparation of good coffee. Visit www.coavacoffee.com or call 503-894-8134 for more information.","A pleasing stone fruit and cocoa-driven Honduras cup, bright and lively.","High-toned, crisply sweet. Roasted cacao nib, apricot, freesia, oak, toffee in aroma and cup. Sweet-toned in structure with brisk, juicy acidty; silky mouthfeel. The finish centers around cocoa-toned stone fruit with hints of spicy floral notes. A pleasing stone fruit and cocoa-driven Honduras cup, bright and lively."
Kenya Gatugi AB,Black Coffee in Black Jar,Taichung,Taiwan,Taiwan,Kenya Gatugi AB,1,Kenya,January 2018,$35.00/100 grams,94,Medium-Light,53/85,53,85,9.0,9.0,9.0,9.0,8.0,0.0,"Deep-toned, richly sweet-savory. Bergamot, butterscotch, red currant, dried hibiscus, almond wood in aroma and cup. Intricate, complex, balanced structure; delicate, silky mouthfeel. The finish, rich, long and deeply sweet, consolidates to bergamot and butterscotch.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese colloquialism “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar this company stores coffee in to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.","Elegant and complex: an expressive Kenya coffee with sweet-savory depth and engaging top notes of bergamot, butterscotch and red currant.","Deep-toned, richly sweet-savory. Bergamot, butterscotch, red currant, dried hibiscus, almond wood in aroma and cup. Intricate, complex, balanced structure; delicate, silky mouthfeel. The finish, rich, long and deeply sweet, consolidates to bergamot and butterscotch. Elegant and complex: an expressive Kenya coffee with sweet-savory depth and engaging top notes of bergamot, butterscotch and red currant."
Bufcafe Rwanda Espresso,JBC Coffee Roasters,Madison,Wisconsin,United States,"Nyamagabe district, Southern Province, Rwanda",1,Rwanda,January 2018,$17.25/12 ounces,93,Medium-Light,54/78,54,78,9.0,0.0,9.0,9.0,7.0,9.0,"Evaluated as espresso. Delicate, crisply sweet-savory. Tamarind, baker’s chocolate, rhododendron, mulberry, oak in aroma and small cup. Confident, satiny-smooth mouthfeel; richly drying finish redolent of chocolate-toned aromatic oak. In three parts milk, chocolate and sweet floral notes merge and bloom, and a pretty hint of tangerine zest also surfaces. ","Produced from trees of the heirloom Bourbon variety of Arabica. Epiphanie Mukashyaka established the now famous Bufcafe washing station or wet mill following the Rwandan genocide and the loss of most of her family. She and her son now operate two wet mills and a dry mill in the area. Processed by the conventional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","An unapologetically savory-sweet coffee, especially attractive in milk, where both basic taste tendencies are enhanced by notes of tamarind and citrus zest.","Evaluated as espresso. Delicate, crisply sweet-savory. Tamarind, baker’s chocolate, rhododendron, mulberry, oak in aroma and small cup. Confident, satiny-smooth mouthfeel; richly drying finish redolent of chocolate-toned aromatic oak. In three parts milk, chocolate and sweet floral notes merge and bloom, and a pretty hint of tangerine zest also surfaces.  An unapologetically savory-sweet coffee, especially attractive in milk, where both basic taste tendencies are enhanced by notes of tamarind and citrus zest."
Bufcafe Rwanda,JBC Coffee Roasters,Madison,Wisconsin,United States,"Nyamagabe District, Southern Province, Rwanda",1,Rwanda,January 2018,$17.25/12 ounces,93,Light,60/84,60,84,9.0,9.0,9.0,7.0,9.0,0.0,"Deeply sweet, richly savory. Dried apricot, roasted cacao nib, freesia, almond, tamarind in aroma and cup. Balanced, sweet-savory structure; syrupy-smooth mouthfeel. The finish leads with notes of dried stone fruit and spicy florals in the short, rounding to almond and cocoa in the long, with a hint of tamarind-like sweet-tartness.","Produced from trees of local strains of the heirloom Bourbon variety of Arabica. Epiphanie Mukashyaka established the now famous Bufcafe washing station or wet mill following the Rwandan genocide and the loss of most of her family. She and her son now operate two wet mills and a dry mill in the area. Processed by the conventional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A superior Rwanda cup, classically sweet-savory with an appealing high-toned crispness.","Deeply sweet, richly savory. Dried apricot, roasted cacao nib, freesia, almond, tamarind in aroma and cup. Balanced, sweet-savory structure; syrupy-smooth mouthfeel. The finish leads with notes of dried stone fruit and spicy florals in the short, rounding to almond and cocoa in the long, with a hint of tamarind-like sweet-tartness. A superior Rwanda cup, classically sweet-savory with an appealing high-toned crispness."
Gedeb Ethiopia,JBC Coffee Roasters,Madison,Wisconsin,United States,"Gedeb District, Gedeo Zone, southern Ethiopia",1,Ethiopia,January 2018,$18.75/12 ounces,95,Medium-Light,58/82,58,82,9.0,9.0,9.0,9.0,9.0,0.0,"Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity; satiny mouthfeel. The finish is as elegant as the cup implies: flavor-saturated, floral-, chocolate- and fruit-toned in both short and long.","Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A big, juicy wet-processed Ethiopia cup laden with rich floral and fruit tones throughout, all enveloped in dark chocolate.","Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity; satiny mouthfeel. The finish is as elegant as the cup implies: flavor-saturated, floral-, chocolate- and fruit-toned in both short and long. A big, juicy wet-processed Ethiopia cup laden with rich floral and fruit tones throughout, all enveloped in dark chocolate."
Civet Yirgacheffe Sisota,"Good Chance Biotechnology, Ltd.",Taichung,Taiwan,Taiwan,"Sidamo growing region, south-central Ethiopia",1,Ethiopia,January 2018,$206.00/8 ounces,93,Medium-Light,54/78,54,78,9.0,8.0,9.0,9.0,8.0,0.0,"Richly savory, sweetly herb-toned. Baker’s chocolate, fennel, black cherry, cedar, wisteria-like flowers in aroma and cup. Round, deeply sweet in structure; syrupy mouthfeel. The cocoa-toned finish leads with black cherry in the short, which settles into a cedar-toned flowers in the long. ","The cup profile of this coffee owes its originality to a complex, overlapping set of influences. First, tree variety: It was produced from heirloom varieties grown only in southern Ethiopia. Second, processing method: It was processed using a variation of the honey method, in which only the skins are removed from the coffee fruit and the beans are dried still enveloped in all or part of the fruit pulp. Finally, the beans were exposed to cultured strains of bacteria extracted from the excrement of the civet cat, making this a laboratory version of the famous kopi luwak, the coffee passed through the intestines of a civet cat or luwak. Good Chance Biotechnology., Ltd. is a Taiwan-based specialty coffee company. For more information, visit http://www.magiccat.pro/ or email [email protected]",An impressively rich sweet-savory cup with a throughline of fennel-like herb notes. Interesting both for its unusual cup and its unusual processing variation.,"Richly savory, sweetly herb-toned. Baker’s chocolate, fennel, black cherry, cedar, wisteria-like flowers in aroma and cup. Round, deeply sweet in structure; syrupy mouthfeel. The cocoa-toned finish leads with black cherry in the short, which settles into a cedar-toned flowers in the long.  An impressively rich sweet-savory cup with a throughline of fennel-like herb notes. Interesting both for its unusual cup and its unusual processing variation."
Civet Ethiopia Papilio Sidamo,"Good Chance Biotechnology, Ltd.",Taichung,Taiwan,Taiwan,"Sidamo growing region, south-central Ethiopia",1,Ethiopia,January 2018,$206.00/8 ounces,93,Medium-Light,54/78,54,78,9.0,8.0,9.0,9.0,8.0,0.0,"Delicately sweet-tart, fruit-toned. Strawberry, aged rum, cocoa powder, pink peppercorn, celery seed in aroma and cup. Sweetly fermenty in structure; satiny-smooth in mouthfeel. A hint of aged rum carries the finish, accompanied by berry notes in the short and spice-toned savory notes in the long.","The cup profile of this coffee owes its originality to a complex, overlapping set of influences. First, tree variety: It was produced from heirloom varieties grown only in southern Ethiopia. Second, processing method: It is a “natural” or dry-processed coffee, meaning the beans were dried inside the fruit, encouraging a flavor profile that is sweeter and deeper-toned than profiles associated with the more typical wet or “washed” process the which the soft fruit residue is removed before drying. Finally, the beans were exposed to cultured strains of bacteria extracted from the excrement of the civet cat, making this a laboratory version of the famous kopi luwak, the coffee passed through the intestines of a civet cat or luwak. Good Chance Biotechnology., Ltd. is a Taiwan-based specialty coffee company. For more information, visit http://www.magiccat.pro/ or email [email protected]","A Sidamo coffee processed by the dry or natural method and treated with a cultured essence of kopi luwak that together net richly ripe fruit notes, cocoa tones, and a pleasing hint of sweet ferment.","Delicately sweet-tart, fruit-toned. Strawberry, aged rum, cocoa powder, pink peppercorn, celery seed in aroma and cup. Sweetly fermenty in structure; satiny-smooth in mouthfeel. A hint of aged rum carries the finish, accompanied by berry notes in the short and spice-toned savory notes in the long. A Sidamo coffee processed by the dry or natural method and treated with a cultured essence of kopi luwak that together net richly ripe fruit notes, cocoa tones, and a pleasing hint of sweet ferment."
Estate Carbonic Maceration,Ka'u Specialty Coffee,Pahala,Hawaii,United States,"Ka'u growing region, Big Island of Hawaii",1,Hawaii,January 2018,$29.48/8 ounces,90,Medium-Light,58/71,58,71,8.0,8.0,8.0,8.0,8.0,0.0,"Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.   ","Ka’u is an emerging Hawaii coffee-growing district centered approximately 30 miles southeast of the famous Kona region. This Ka’u is produced by the Palehua Ohana Cooperative of small-holding Ka’u farmers, an organization dedicated to impeccable socio-economic and environmental practices. Carbonic maceration is an innovative variation on the wet or “washed” method, in which the whole coffee fruit is fermented in a carbon-dioxide rich environment before the fruit residue is removed and the beans are dried. The goal is to improve the clarity and sweetness of fruit notes. The method is being pioneered by Sasa Sestic, an Australian barista champion. Visit www.kauspecialtycoffee.com for more information.","Delicately bittersweet and cocoa-toned, with flowers hinting at lushness.","Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.    Delicately bittersweet and cocoa-toned, with flowers hinting at lushness."
Ethiopia Dry-Processed Guji Mt. Kayon,Black Coffee in Black Jar,Taichung,Taiwan,Taiwan,"Guji Zone, Oromia Region, south-central Ethiopia",1,Ethiopia,January 2018,$35.00/100 grams,95,Medium-Light,56/75,56,75,9.0,9.0,9.0,9.0,9.0,0.0,"Complex, fruit-forward. Ripe strawberry, dark chocolate, frankincense, pink peppercorn, aged rum in aroma and cup. Bittersweet structure animated by a bright, juicy acidity; delicately lively, smooth mouthfeel. The resonant finish is flavor-saturated, leading with berry notes with a hint of sweet ferment in the short, rounding to spice-toned chocolate in the long.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar this company stores coffee in to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.","A regal and expressive natural-processed Ethiopia coffee with an inviting hint of clean, sweet ferment suggesting aged rum.","Complex, fruit-forward. Ripe strawberry, dark chocolate, frankincense, pink peppercorn, aged rum in aroma and cup. Bittersweet structure animated by a bright, juicy acidity; delicately lively, smooth mouthfeel. The resonant finish is flavor-saturated, leading with berry notes with a hint of sweet ferment in the short, rounding to spice-toned chocolate in the long. A regal and expressive natural-processed Ethiopia coffee with an inviting hint of clean, sweet ferment suggesting aged rum."
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,Floyd,Virginia,United States,"Kochere, Yirgacheffe growing region, south-central Ethiopia",1,Ethiopia,January 2018,$16.99/12 ounces,94,Light,65/93,65,93,9.0,9.0,9.0,9.0,8.0,0.0,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complicates the rich, flavor-saturated finish, which leads with honey and raspberry notes in the short, rounding to chocolate and aged rum in the long.","Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. This coffee is certified organically grown and Fair Trade Certified, meaning it was purchased from small-holding farmers at a “fair” or economically sustainable price. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A juicy-sweet Ethiopia natural cup: lively and fruit-toned, with a hint of elegant, rum-like sweet ferment.","Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complicates the rich, flavor-saturated finish, which leads with honey and raspberry notes in the short, rounding to chocolate and aged rum in the long. A juicy-sweet Ethiopia natural cup: lively and fruit-toned, with a hint of elegant, rum-like sweet ferment."
Colombia David Gomez 100% Caturra,Manzanita Roasting Company,San Diego,California,United States,"Huila Department, southern Colombia",1,Colombia,January 2018,$17.00/12 ounces,92,Light,63/85,63,85,8.0,9.0,8.0,9.0,8.0,0.0,"Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity; lean, though satiny-smooth mouthfeel. The resonant, richly drying finish is laden with sweet notes of caramel and papaya in the short, turning more savory-leaning in the long, with hints of pink peppercorn wrapped in vanilla. ","Produced by David Gomez of of El Balso Farm entirely from trees of the Caturra variety of Arabica. Like almost all Colombia coffees, this coffee is wet-processed or “washed,” meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Huila is one of Colombia’s most respected coffee-growing regions. Husband and wife team Samantha and Weston Nawrocki founded Manzanita Roasting on their family’s 127-year-old winery in San Diego. Committed to quality direct-trade sourcing and skillful roasting, they are happy to be a part of what they call San Diego’s new “coffee frontier.” Visit www.manzanitaroasting.com for more information.","Engaging Colombia cup with impressively juicy, bright acidity and zesty, spice-toned aromatics.","Crisply sweet, spice-toned. Dried papaya, caramel, tangerine zest, pink-peppercorn, vanilla in aroma and cup. High-toned, sweetly tart in structure with juicy, bright acidity; lean, though satiny-smooth mouthfeel. The resonant, richly drying finish is laden with sweet notes of caramel and papaya in the short, turning more savory-leaning in the long, with hints of pink peppercorn wrapped in vanilla.  Engaging Colombia cup with impressively juicy, bright acidity and zesty, spice-toned aromatics."
Guatemala Acatenango Gesha Lot #209,Black Coffee in Black Jar,Taichung,Taiwan,Taiwan,"Acatenango growing region, central Guatemala",1,Guatemala,January 2018,$35.00/100 grams,93,Light,60/86,60,86,9.0,8.0,9.0,9.0,8.0,0.0,"Crisp, elegantly sweet-savory. Baker’s chocolate, lemon blossom, fine musk, dried peach, almond in aroma and cup. Balanced, sweetly tart in structure; delicate, satiny mouthfeel. The richly drying finish consolidates to chocolate-toned stone fruit, with a hint of fine musk.","With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. Acatenango is the name of a coffee-growing municipality as well as a famous volcano overlooking the Antigua Valley of Guatemala. This coffee was processed by the wet or washed method (fruit skin and pulp are removed before drying). Black Coffee in Black Jar, a Taiwan-based nano-roaster and café, is named for both the Taiwanese colloquialism “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar this company stores coffee in to protect it from UV light. For more information, visit https://m.facebook.com/BlackCoffeeInBlackJar/.","A deep, graceful Guatemala Gesha cup, with notes of dried stone fruit grounded by rich chocolate tones.","Crisp, elegantly sweet-savory. Baker’s chocolate, lemon blossom, fine musk, dried peach, almond in aroma and cup. Balanced, sweetly tart in structure; delicate, satiny mouthfeel. The richly drying finish consolidates to chocolate-toned stone fruit, with a hint of fine musk. A deep, graceful Guatemala Gesha cup, with notes of dried stone fruit grounded by rich chocolate tones."
Panama Auromar Estate Geisha Peaberry,Bird Rock Coffee Roasters,San Diego,California,United States,"Piedra Candela, Chiriqui Province, far western Panama",1,Panama,January 2018,$51.00/8 ounces,95,Medium-Light,53/81,53,81,10.0,9.0,9.0,9.0,8.0,0.0,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in the short, with rich florals resurfacing in the long. ","Regrettably, this fine coffee sold out before the publication of our review. Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. This sample also consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A vibrant, exhilarating natural-processed peaberry Gesha saturated with rich floral, spice and fruit aromas and flavors throughout the profile.","Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in the short, with rich florals resurfacing in the long.  A vibrant, exhilarating natural-processed peaberry Gesha saturated with rich floral, spice and fruit aromas and flavors throughout the profile."
Indonesia Emerald Mandheling,A.R.C.,Hong Kong,Hong Kong,Hong Kong,"Gayo (also Aceh) growing region, Aceh Province, northern Sumatra, Indonesia",1,Indonesia,January 2018,HKD $140/227 grams,92,Medium-Light,54/78,54,78,9.0,8.0,8.0,9.0,8.0,0.0,"Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla. ","Coffees from the northern part of the Indonesian island of Sumatra are valued for their complex aromatic wood and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” This is a refined example of the type. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in cafe environments, water quality for brewed coffee. For more information, visit http://www.arc.coffee/en/index.html.","Complex and dynamic in structure, balancing tart, sweet and bitter, with deeply layered and complex aromatics.","Deeply rich, spicy sweet. Pear, cedar, vanilla, grapefruit zest, cumin in aroma and cup. Tartly bittersweet in structure; full, syrupy though drying mouthfeel. Resonant finish consolidates around pear and a floral-toned vanilla.  Complex and dynamic in structure, balancing tart, sweet and bitter, with deeply layered and complex aromatics."
